x,y
100000,1.96733e+06
200000,4.00591e+06
400000,7.95471e+06
800000,1.57074e+07
1600000,3.02578e+07
3200000,5.65505e+07
6400000,9.82606e+07
12800000,1.55998e+08
25600000,2.26524e+08
